UID        PID  PPID  C STIME TTY          TIME CMD
root      8013     1  0 Aug08 ?        00:00:00 /opt/quest/sbin/vasgpd -p /var/opt/quest/vgp/vasgpd/.vasgpd.pid
root      8050 64973  0 Aug11 ?        00:06:06 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_21 -d 0 -o 1
root      8084     1  0 Aug08 ?        00:00:02 /usr/sbin/automount -p /var/run/automount.pid
root      8117     1  0 Aug08 ?        00:00:00 /usr/sbin/ocmanager/elxhbamgrd
bsc       8171 64973  0 Aug11 ?        00:04:20 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_22 -d 0 -o 1
root      8202     1  0 Aug08 ?        00:00:01 /usr/lib/postfix/master
root      8235     1  0 Aug08 ?        00:00:01 /usr/sbin/cron
postfix   8249  8202  0 Aug08 ?        00:00:00 qmgr -l -t fifo -u
root      8286 64973  0 Aug11 ?        00:05:32 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_22 -d 0 -o 1
root      8296     1  0 Aug08 ?        00:00:00 /usr/sbin/smartd
root      8351     1  0 Aug08 ?        00:03:40 /opt/OV/bin/ovcd
root      8359  8351  0 Aug08 ?        00:00:30 /opt/OV/bin/ovbbccb -nodaemon
root      8376  8351  0 Aug08 ?        00:02:15 /opt/OV/lbin/perf/coda
root      8378  8351  0 Aug08 ?        00:00:00 /opt/OV/lbin/conf/ovconfd
root      8460  8351  0 Aug08 ?        00:00:59 /opt/OV/lbin/eaagt/opcmsga
bsc       8466 64973  0 Aug11 ?        00:04:23 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_23 -d 0 -o 1
root      8559  8351  0 Aug08 ?        00:00:50 /opt/OV/lbin/eaagt/opcacta
root      8564  8351  0 Aug08 ?        00:00:59 /opt/OV/lbin/eaagt/opcle -std
root      8567  8351  0 Aug08 ?        00:03:10 /opt/OV/lbin/eaagt/opcmona
root      8577  8351  0 Aug08 ?        00:00:00 /opt/OV/lbin/eaagt/opcmsgi
root      8608     1  0 Aug08 ?        00:00:00 /opt/OV/lbin/xpl/trc/ovtrcd
root      8632     1  0 Aug08 tty1     00:00:00 /sbin/mingetty --noclear tty1
root      8633     1  0 Aug08 tty2     00:00:00 /sbin/mingetty tty2
root      8634     1  0 Aug08 tty3     00:00:00 /sbin/mingetty tty3
root      8635     1  0 Aug08 tty4     00:00:00 /sbin/mingetty tty4
root      8636     1  0 Aug08 tty5     00:00:00 /sbin/mingetty tty5
root      8637     1  0 Aug08 tty6     00:00:00 /sbin/mingetty tty6
root      8638     1  0 Aug08 ttyS0    00:00:00 /sbin/agetty -L 115200 ttyS0 vt102
root      8647 64973  0 Aug11 ?        00:09:02 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_23 -d 0 -o 1
bsc       8720 64973  0 Aug11 ?        00:05:56 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_24 -d 0 -o 1
root      8927 64973  0 Aug11 ?        00:05:22 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_24 -d 0 -o 1
bsc       8960 64973  0 Aug11 ?        00:06:07 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_25 -d 0 -o 1
root      9075 64973  0 Aug11 ?        00:09:15 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_25 -d 0 -o 1
bsc       9157 64973  0 Aug11 ?        00:06:44 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_26 -d 0 -o 1
root      9269 64973  0 Aug11 ?        00:06:49 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_26 -d 0 -o 1
bsc       9343 64973  0 Aug11 ?        00:05:37 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_27 -d 0 -o 1
root      9445 64973  0 Aug11 ?        00:06:15 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_27 -d 0 -o 1
bsc       9464 64973  0 Aug10 ?        00:00:01 /u40/apps/bsc/software/BSC/bsc/bin/bsc_mon -t BMR_1800_02_01 -d 0 -o 3
root      9489     2  0 Aug18 ?        00:00:50 [kworker/6:1]
bsc       9561 64973  0 Aug11 ?        00:06:34 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_28 -d 0 -o 1
root      9775 64973  0 Aug11 ?        00:06:44 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_28 -d 0 -o 1
bsc       9930 64973  0 Aug11 ?        00:06:33 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_29 -d 0 -o 1
root     10083 64973  0 Aug11 ?        00:06:41 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_29 -d 0 -o 1
oracle   10153     1  3 Aug10 ?        07:14:01 ora_j002_bsct5
bsc      10156 64973  0 Aug11 ?        00:06:02 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_30 -d 0 -o 1
root     10215 64973  0 Aug11 ?        00:06:27 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_30 -d 0 -o 1
bsc      10318 64973  0 Aug11 ?        00:06:16 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_31 -d 0 -o 1
root     10438 64973  0 Aug11 ?        00:06:04 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_31 -d 0 -o 1
bsc      10532 64973  0 Aug11 ?        00:06:02 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_32 -d 0 -o 1
root     10759 64973  0 Aug11 ?        00:06:12 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_32 -d 0 -o 1
bsc      10795 64973  0 Aug11 ?        00:06:29 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_33 -d 0 -o 1
hpsmh    10801  7958  0 Aug12 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
root     10896 64973  0 Aug11 ?        00:05:21 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_33 -d 0 -o 1
bsc      11007 64973  0 Aug11 ?        00:04:16 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_34 -d 0 -o 1
root     11112 64973  0 Aug11 ?        00:06:12 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_34 -d 0 -o 1
bsc      11253 64973  0 Aug11 ?        00:04:19 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_35 -d 0 -o 1
root     11398 64973  0 Aug11 ?        00:09:31 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_35 -d 0 -o 1
bsc      11490 64973  0 Aug11 ?        00:05:35 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_36 -d 0 -o 1
root     11667 64973  0 Aug11 ?        00:05:08 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_36 -d 0 -o 1
