USER       PID                  STARTED COMMAND
ntp       7265 Sat Aug  8 11:24:14 2015 /usr/sbin/ntpd -p /var/run/ntp/ntpd.pid -g -u ntp:ntp -i /var/lib/ntp -c /etc/ntp.conf
root      7284 Sat Aug  8 11:24:14 2015 /usr/sbin/cupsd
root      7358 Tue Aug 11 09:07:54 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_18 -d 0 -o 1
root      7364 Sat Aug  8 11:24:14 2015 cmahealthd -p 30 -s OK -t OK -i -l /var/log/hp-snmp-agents/cma.log
root      7391 Sat Aug  8 11:24:14 2015 cmastdeqd -p 30 -l /var/log/hp-snmp-agents/cma.log
root      7418 Sat Aug  8 11:24:14 2015 cmahostd -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7441 Sat Aug  8 11:24:14 2015 cmathreshd -p 5 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7486 Sat Aug  8 11:24:14 2015 cmasm2d -p 30 -l /var/log/hp-snmp-agents/cma.log
root      7507 Sat Aug  8 11:24:15 2015 cmasm2d -p 30 -l /var/log/hp-snmp-agents/cma.log
root      7524 Sat Aug  8 11:24:15 2015 cmaperfd -p 30 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7570 Sat Aug  8 11:24:15 2015 cmapeerd -l /var/log/hp-snmp-agents/cma.log
root      7573 Tue Aug 11 09:07:59 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_19 -d 0 -o 1
root      7605 Sat Aug  8 11:24:15 2015 cmaeventd -p 15 -l /var/log/hp-snmp-agents/cma.log
root      7669 Sat Aug  8 11:24:15 2015 cmasasd -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7704 Sat Aug  8 11:24:15 2015 cmaidad -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7739 Sat Aug  8 11:24:15 2015 cmaided -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7778 Sat Aug  8 11:24:15 2015 cmascsid -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7892 Tue Aug 11 09:08:04 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_20 -d 0 -o 1
root      7958 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
root      7959 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/bin/rotatelogs /var/spool/opt/hp/hpsmh/logs/error_log 5M
root      7960 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/bin/rotatelogs /var/spool/opt/hp/hpsmh/logs/access_log 5M
hpsmh     7963 Sat Aug  8 19:50:52 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7966 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7967 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7968 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7969 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7970 Sat Aug  8 11:24:17 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
root      7980 Sat Aug  8 11:24:17 2015 /usr/sbin/nscd
root      8013 Sat Aug  8 11:24:17 2015 /opt/quest/sbin/vasgpd -p /var/opt/quest/vgp/vasgpd/.vasgpd.pid
root      8050 Tue Aug 11 09:08:09 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_21 -d 0 -o 1
root      8084 Sat Aug  8 11:24:19 2015 /usr/sbin/automount -p /var/run/automount.pid
root      8117 Sat Aug  8 11:24:19 2015 /usr/sbin/ocmanager/elxhbamgrd
bsc       8171 Tue Aug 11 09:08:12 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_22 -d 0 -o 1
root      8202 Sat Aug  8 11:24:19 2015 /usr/lib/postfix/master
root      8235 Sat Aug  8 11:24:19 2015 /usr/sbin/cron
postfix   8249 Sat Aug  8 11:24:19 2015 qmgr -l -t fifo -u
root      8286 Tue Aug 11 09:08:14 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_22 -d 0 -o 1
root      8296 Sat Aug  8 11:24:20 2015 /usr/sbin/smartd
root      8351 Sat Aug  8 11:24:21 2015 /opt/OV/bin/ovcd
root      8359 Sat Aug  8 11:24:21 2015 /opt/OV/bin/ovbbccb -nodaemon
root      8376 Sat Aug  8 11:24:22 2015 /opt/OV/lbin/perf/coda
root      8378 Sat Aug  8 11:24:22 2015 /opt/OV/lbin/conf/ovconfd
root      8460 Sat Aug  8 11:24:28 2015 /opt/OV/lbin/eaagt/opcmsga
bsc       8466 Tue Aug 11 09:08:17 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_23 -d 0 -o 1
root      8559 Sat Aug  8 11:24:33 2015 /opt/OV/lbin/eaagt/opcacta
root      8564 Sat Aug  8 11:24:34 2015 /opt/OV/lbin/eaagt/opcle -std
root      8567 Sat Aug  8 11:24:34 2015 /opt/OV/lbin/eaagt/opcmona
root      8577 Sat Aug  8 11:24:34 2015 /opt/OV/lbin/eaagt/opcmsgi
root      8608 Sat Aug  8 11:24:37 2015 /opt/OV/lbin/xpl/trc/ovtrcd
root      8632 Sat Aug  8 11:24:37 2015 /sbin/mingetty --noclear tty1
root      8633 Sat Aug  8 11:24:37 2015 /sbin/mingetty tty2
root      8634 Sat Aug  8 11:24:37 2015 /sbin/mingetty tty3
root      8635 Sat Aug  8 11:24:37 2015 /sbin/mingetty tty4
root      8636 Sat Aug  8 11:24:37 2015 /sbin/mingetty tty5
root      8637 Sat Aug  8 11:24:37 2015 /sbin/mingetty tty6
root      8638 Sat Aug  8 11:24:37 2015 /sbin/agetty -L 115200 ttyS0 vt102
root      8647 Tue Aug 11 09:08:19 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_23 -d 0 -o 1
bsc       8720 Tue Aug 11 09:08:22 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_24 -d 0 -o 1
root      8927 Tue Aug 11 09:08:24 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_24 -d 0 -o 1
bsc       8960 Tue Aug 11 09:08:27 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_25 -d 0 -o 1
root      9075 Tue Aug 11 09:08:29 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_25 -d 0 -o 1
bsc       9157 Tue Aug 11 09:08:32 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_26 -d 0 -o 1
root      9269 Tue Aug 11 09:08:34 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_26 -d 0 -o 1
bsc       9343 Tue Aug 11 09:08:37 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_27 -d 0 -o 1
root      9445 Tue Aug 11 09:08:39 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_27 -d 0 -o 1
bsc       9464 Mon Aug 10 01:45:46 2015 /u40/apps/bsc/software/BSC/bsc/bin/bsc_mon -t BMR_1800_02_01 -d 0 -o 3
root      9489 Tue Aug 18 23:56:40 2015 [kworker/6:1]
bsc       9561 Tue Aug 11 09:08:42 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_28 -d 0 -o 1
root      9775 Tue Aug 11 09:08:44 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_28 -d 0 -o 1
bsc       9930 Tue Aug 11 09:08:47 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_29 -d 0 -o 1
root     10083 Tue Aug 11 09:08:49 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_29 -d 0 -o 1
oracle   10153 Mon Aug 10 01:46:00 2015 ora_j002_bsct5
bsc      10156 Tue Aug 11 09:08:52 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_30 -d 0 -o 1
root     10215 Tue Aug 11 09:08:54 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_30 -d 0 -o 1
bsc      10318 Tue Aug 11 09:08:57 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_31 -d 0 -o 1
root     10438 Tue Aug 11 09:08:59 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_31 -d 0 -o 1
bsc      10532 Tue Aug 11 09:09:02 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_32 -d 0 -o 1
root     10759 Tue Aug 11 09:09:04 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_32 -d 0 -o 1
bsc      10795 Tue Aug 11 09:09:07 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_33 -d 0 -o 1
hpsmh    10801 Wed Aug 12 23:42:43 2015 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
root     10896 Tue Aug 11 09:09:09 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_33 -d 0 -o 1
bsc      11007 Tue Aug 11 09:09:12 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_34 -d 0 -o 1
root     11112 Tue Aug 11 09:09:14 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_34 -d 0 -o 1
bsc      11253 Tue Aug 11 09:09:17 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_35 -d 0 -o 1
root     11398 Tue Aug 11 09:09:19 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_35 -d 0 -o 1
bsc      11490 Tue Aug 11 09:09:22 2015 /u40/apps/bsc/software/BSC/bsc/bin/bas_driver -t BDC_1800_05_36 -d 0 -o 1
